Nota,Full,Quantidade Imagem,Preço Normalizado,Reviews Padronizado,Caracter Descricao,quantidade_vendida
4.7,1,10,0.06353978213303393,-0.3266486667749833,2750,10000
4.8,0,12,3.3953275767774613,-0.47304448385540854,2611,100
4.7,0,12,0.6432258342417773,-0.3509479724789063,2074,5000
4.7,0,12,0.7220181131691793,-0.423745892447861,2365,1000
4.5,1,7,-0.6061945887498831,-0.36024770676065465,1816,5000
4.7,1,11,1.3523563445883953,-0.26365046680184945,1335,5000
4.6,1,12,0.48564127638697324,1.9395865808299875,1441,100000
4.6,1,7,-0.3979578515846064,1.9524862122530577,2049,100000
4.6,1,8,0.03539968251610464,-0.17915288112359853,1468,10000
4.7,1,12,0.3843369177660278,0.48772806430628945,1570,10000
4.7,1,5,-1.163368561165083,1.6625944952338276,1224,50000
4.4,1,7,-0.13906893510885693,-0.32974857820223274,639,5000
4.8,1,6,-0.5386583496692529,-0.2826499239366041,1356,5000
4.6,1,9,0.31117265876201167,-0.3897468638909316,2473,5000
4.7,1,12,1.3073321852013084,-0.423745892447861,2366,1000
4.7,1,10,0.5588055353909894,-0.41194622959575017,1807,1000
4.7,1,10,-0.16158101480240036,0.4721285100272277,1868,10000
4.7,1,12,-0.5836825090563397,5.348789170804672,2797,50000
4.7,1,10,-0.20660517418948723,-0.43604554101404425,1848,1000
4.7,1,12,-0.572426469209568,1.3977020639182225,2469,50000
4.7,1,7,-0.3698177519676771,0.6917222356478656,1093,10000
4.7,1,7,-0.3867018117378347,0.6917222356478656,1093,50000
4.8,1,12,-1.92809828033483,-0.3857469781783517,885,5000
4.5,1,9,1.2679360457376074,-0.37654724103941783,688,1000
4.8,1,3,2.3653999307978495,-0.448045198151784,1149,10000
4.7,1,11,-0.4823781504353942,-0.37384731818342637,1793,5000
4.9,1,5,0.2942885989918541,-0.4328456324439803,1389,1000
4.8,1,5,0.012887602822561212,-0.4278457753032554,651,5000
4.7,1,11,-0.37544577189106293,0.6769226585113199,927,100000
4.7,1,10,-0.0771607159516125,-0.46264478100270073,1895,1000
4.7,1,11,0.2774045392216965,-0.36064769533191265,2392,5000
4.7,1,5,-0.2910254730402751,-0.4316456667302063,1910,1000
4.8,1,11,-0.06027665618145493,-0.4754444152829565,1088,1000
4.6,1,6,-0.4486100308950791,-0.421545955305942,1629,1000
5.0,1,9,0.14233206106043594,-0.47614439528265795,1257,100
4.7,1,12,0.48564127638697324,-0.44244535815417213,1812,1000
4.5,1,7,-1.2083927205521698,-0.42204594102001447,882,1000
4.4,1,8,0.17047216067736523,-0.447645209580526,1458,1000
4.6,1,8,-0.09967279564515594,-0.25695065823327806,1389,10000
4.7,1,8,-0.9157356845361053,-0.4713445324275621,940,1000
4.7,1,9,-1.9275185942827213,-0.3792471638954093,950,10000
4.6,1,6,0.012887602822561212,-0.4125462124526372,828,5000
4.8,0,3,-0.27414141327011754,-0.46204479814581373,520,1000
4.8,1,4,-0.40358587150799224,-0.4683446181431271,1698,500
4.7,1,8,2.4441922097252515,-0.46334476100240224,2013,500
4.8,1,9,-1.9278787875578178,-0.4475452124377115,1897,1000
4.7,1,6,-0.6849868676772851,-0.26975029251353383,1160,50000
